curso,total_inscricoes
FARMÁCIA,81
ENFERMAGEM,79
CIÊNCIAS BIOLÓGICAS ,69
PSICOLOGIA,57
NUTRIÇÃO,51
MEDICINA,42
LETRAS - LÍNGUA PORTUGUESA,41
ADMINISTRAÇÃO,32
GEOGRAFIA,30
HISTÓRIA,28
CIÊNCIA DA COMPUTAÇÃO,27
PEDAGOGIA,24
MATEMÁTICA,24
DIREITO,22
FISIOTERAPIA,22
CIÊNCIAS CONTÁBEIS,21
EDUCAÇÃO FÍSICA,20
ENGENHARIA CIVIL,19
ENGENHARIA ELÉTRICA,18
QUÍMICA,18
MEDICINA VETERINÁRIA,16
ODONTOLOGIA,14
ARQUITETURA E URBANISMO,14
SERVIÇO SOCIAL,13
DESIGN,10
LETRAS - ESPANHOL,7
JORNALISMO,6
LETRAS - INGLÊS,6
COMUNICAÇÃO SOCIAL,5
ENGENHARIA DE MINAS,5
FÍSICA,5
AGROECOLOGIA,4
ENGENHARIA DE MATERIAIS,4
FONOAUDIOLOGIA,4
BIOMEDICINA,4
DESIGN GRÁFICO,3
CIÊNCIAS DA COMPUTAÇÃO,3
ALIMENTOS,3
ESTATÍSTICA,3
FILOSOFIA,3
ENGENHARIA DE ALIMENTOS,3
AGRONOMIA,3
CIÊNCIAS SOCIAIS,3
ENGENHARIA MECATRÔNICA,2
ZOOTECNIA,2
ARTES VISUAIS,2
TURISMO,2
ENGENHARIA QUÍMICA,2
CINEMA E AUDIOVISUAL,2
GESTÃO PÚBLICA,2
ARTE E MÍDIA,2
RELAÇÕES INTERNACIONAIS,2
CIÊNCIAS AGRÁRIAS,1
ENGENHARIA AMBIENTAL,1
COMPUTAÇÃO,1
DESIGN DE INTERIORES,1
SISTEMAS PARA INTERNET,1
AGROINDÚSTRIA,1
METEOROLOGIA,1
ENGENHARIA MECÂNICA,1
ENERGIAS RENOVÁVEIS,1
ENGENHARIA DE PETRÓLEO,1
TELEMÁTICA,1
CIÊNCIA ECONÔMICA,1
PSICOPEDAGOGIA,1
TEATRO,1
ENGENHARIA DE ENERGIAS RENOVÁVEIS,1
ENGENHARIA DE PRODUÇÃO,1
SOCIOLOGIA,1
LETRAS,1
CIÊNCIA DE DADOS E INTELIGÊNCIA ARTIFICIAL,1
DANÇA,1
BIOTECNOLOGIA,1
