curso,total_inscricoes
CIÊNCIAS BIOLÓGICAS,687
ENFERMAGEM,582
AGROECOLOGIA,522
FARMÁCIA,471
ADMINISTRAÇÃO,425
MATEMÁTICA,411
NUTRIÇÃO,387
FÍSICA,312
GEOGRAFIA,295
QUÍMICA,286
HISTÓRIA,262
PSICOLOGIA,257
PEDAGOGIA,244
LETRAS - LÍNGUA PORTUGUESA,226
CIÊNCIAS CONTÁBEIS,214
MEDICINA,209
DIREITO,194
ODONTOLOGIA,176
ENGENHARIA CIVIL,170
CIÊNCIA DA COMPUTAÇÃO,158
EDUCAÇÃO FÍSICA,139
FISIOTERAPIA,128
MEDICINA VETERINÁRIA,128
ENGENHARIA ELÉTRICA,127
LETRAS - ESPANHOL,120
SERVIÇO SOCIAL,103
ARQUITETURA E URBANISMO,88
LETRAS - INGLÊS,85
DESIGN,79
CIÊNCIAS BIOLÓGICAS ,70
JORNALISMO,54
ESTATÍSTICA,52
ENGENHARIA DE ALIMENTOS,48
ENGENHARIA MECÂNICA,47
CIÊNCIAS SOCIAIS,46
ENGENHARIA DE MINAS,41
FILOSOFIA,41
CONSTRUÇÃO DE EDIFÍCIOS,37
ENGENHARIA DE COMPUTAÇÃO,33
ENGENHARIA DE MATERIAIS,33
CIÊNCIA ECONÔMICA,31
ENGENHARIA AMBIENTAL,30
CIÊNCIAS DA COMPUTAÇÃO,30
AGRONOMIA,28
ENGENHARIA DE PETRÓLEO,27
COMUNICAÇÃO SOCIAL,24
BIOMEDICINA,24
ZOOTECNIA,23
FONOAUDIOLOGIA,22
CIÊNCIAS AGRÁRIAS,22
GESTÃO AMBIENTAL,21
AGROINDÚSTRIA,20
QUÍMICA INDUSTRIAL,19
RELAÇÕES INTERNACIONAIS,18
GESTÃO PÚBLICA,17
TELEMÁTICA,17
BIOLOGIA,16
DESIGN DE INTERIORES,16
ENGENHARIA DE PRODUÇÃO,15
CIÊNCIAS ECONÔMICAS,14
ENGENHARIA SANITÁRIA E AMBIENTAL,14
GEOLOGIA,14
ARTES VISUAIS,13
ALIMENTOS,13
ARTE E MÍDIA,13
ARQUIVOLOGIA,13
PSICOPEDAGOGIA,12
REDES DE COMPUTADORES,12
SOCIOLOGIA,12
DESIGN GRÁFICO,11
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,10
ENGENHARIA AGRÍCOLA,9
GASTRONOMIA,7
SISTEMAS PARA INTERNET,7
MARKETING,7
TURISMO,7
INTERDISCIPLINAR EM CIÊNCIA E TECNOLOGIA,7
BIBLIOTECONOMIA,7
DANÇA,7
ENGENHARIA DE ENERGIAS RENOVÁVEIS,7
SISTEMAS DE INFORMAÇÃO,7
SEGURANÇA NO TRABALHO,6
ENGENHARIA QUÍMICA,6
LETRAS - LÍNGUA HISPANO - AMERICANA,6
PEDAGOGIA - EDUCAÇÃO DO CAMPO,5
TERAPIA OCUPACIONAL,5
GESTÃO COMERCIAL,5
LETRAS - PORTUGUÊS,5
TECNOLOGIA DA INFORMAÇÃO,5
CIÊNCIA E TECNOLOGIA,5
ENGENHARIA FLORESTAL,4
GEOPROCESSAMENTO,4
ENGENHARIA DE PRODUÇÃO MECÂNICA,4
LETRAS,4
ENGENHARIA DE ENERGIAS,4
BIOTECNOLOGIA,4
SISTEMAS DE TELECOMUNICAÇÕES,4
COMPUTAÇÃO,4
CINEMA E AUDIOVISUAL,4
METEOROLOGIA,4
ENGENHARIA DE BIOTECNOLOGIA E BIOPROCESSOS,4
LETRAS - LIBRAS,3
TEATRO,3
COMUNICAÇÃO EM MÍDIAS DIGITAIS,3
ENGENHARIA DE BIOSSISTEMAS,3
ENGENHARIA DE PESCA,3
NEGÓCIOS IMOBILIÁRIOS,2
ECOLOGIA,2
ENERGIAS RENOVÁVEIS,2
PRODUÇÃO SUCROALCOOLEIRA,2
ANTROPOLOGIA,2
LETRAS - LÍNGUA INGLESA,2
MATEMÁTICA APLICADA A NEGÓCIOS,2
ENGENHARIA AGRONÔMICA,2
LETRAS - PORTUGUÊS E INGLÊS,2
MÚSICA,2
JOGOS DIGITAIS,2
RELAÇÕES PÚBLICAS,2
ENGENHARIA MECATRÔNICA,2
COMÉRCIO EXTERIOR,2
ABI - CIÊNCIA DA COMPUTAÇÃO,2
LETRAS - PORTUGUÊS E FRANCÊS,2
MANUTENÇÃO INDUSTRIAL,2
GESTÃO DE POLÍTICAS PÚBLICAS,2
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2
ENGENHARIA SANITARIA E AMBIENTAL,2
ABI - ENGENHARIA DE MINAS,1
SAÚDE COLETIVA,1
LETRAS - FRANCÊS,1
AGRONEGÓCIO,1
FINANÇAS,1
GESTÃO DE TURISMO,1
COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,1
SECRETARIADO EXECUTIVO,1
CIÊNCIA DE DADOS E INTELIGÊNCIA ARTIFICIAL,1
ASTRONOMIA,1
ENGENHARIA DE PETRÓLEO E GÁS,1
SECRETARIADO EXECUTIVO BILÍNGUE,1
ABI - GEOGRAFIA,1
CIÊNCIAS ATUARIAIS,1
COMUNICAÇÃO SOCIAL - AUDIOVISUAL,1
HOTELARIA,1
ABI - FÍSICA,1
LETRAS - LINGUA ESPANHOLA,1
ENFERMAGEM E OBSTETRÍCIA,1
CIÊNCIAS DAS RELIGIÕES,1
ADMINISTRAÇÃO DE EMPRESAS,1
CIÊNCIAS HUMANAS - GEOGRAFIA,1
ARTES CÊNICAS COM HABILITAÇÃO EM CENOGRAFIA,1
INTERDISCIPLINAR EM CIÊNCIA E TECNOLOGIA - BI/LI,1
CIÊNCIAS AGRÍCOLAS,1
INFORMÁTICA,1
LÍNGUAS ESTRANGEIRAS APLICADAS ÀS NEGOCIAÇÕES INTERNACIONAIS,1
GEOFISICA,1
LETRAS - LETRAS CLÁSSICAS (GREGO E LATIM),1
LETRAS - LÍNGUA PORTUGUESA E LÍNGUA FRANCESA,1
CIÊNCIAS HUMANAS - HISTÓRIA,1
ARQUEOLOGIA E PRESERVAÇÃO PATRIMONIAL,1
GESTÃO HOSPITALAR,1
COMUNICAÇÃO SOCIAL - JORNALISMO,1
ENGENHARIA DA COMPUTAÇÃO,1
ARTES CÊNICAS,1
PUBLICIDADE E PROPAGANDA,1
ABI - DANÇA,1
AUTOMAÇÃO INDUSTRIAL,1
